	shluc1	shluc2	shY1	shY2
ENSG00000152689	62	67	42	57
ENSG00000152700	722	782	674	694
ENSG00000152705	6	6	3	9
ENSG00000152749	290	339	373	349
ENSG00000152760	0	0	0	0
ENSG00000152763	25	22	9	7
ENSG00000152766	0	0	0	0
ENSG00000152767	935	1105	1136	980
ENSG00000152778	291	315	324	280
ENSG00000152779	0	0	0	0
ENSG00000152782	74	102	108	100
ENSG00000152784	5	11	7	8
ENSG00000152785	4	2	3	5
ENSG00000152795	2431	2884	2912	2794
ENSG00000152804	0	0	0	1
ENSG00000152818	1905	2245	1759	1832
ENSG00000152822	2	5	0	1
ENSG00000152894	932	1040	1505	1460
ENSG00000152904	51	53	71	74
ENSG00000152910	0	0	0	0
ENSG00000152926	121	88	143	123
ENSG00000152931	0	1	1	0
ENSG00000152932	2	1	0	0
ENSG00000152936	0	0	0	0
ENSG00000152939	5	1	3	3
ENSG00000152942	653	645	762	734
ENSG00000152944	283	295	349	310
ENSG00000152952	1636	1875	2100	2107
ENSG00000152953	11	11	0	3
ENSG00000152954	0	0	0	0
ENSG00000152969	0	0	0	0
ENSG00000152977	101	104	117	110
ENSG00000152990	722	785	433	469
ENSG00000153002	0	0	0	0
ENSG00000153006	303	328	414	376
ENSG00000153012	4	2	5	4
ENSG00000153015	412	422	400	394
ENSG00000153029	85	92	86	79
ENSG00000153037	87	101	99	86
ENSG00000153044	455	499	499	422
ENSG00000153046	429	544	506	427
ENSG00000153048	378	404	428	349
ENSG00000153060	2	0	0	0
ENSG00000153064	0	0	0	0
ENSG00000153066	272	327	384	386
ENSG00000153071	209	263	334	307
ENSG00000153086	5	5	12	14
ENSG00000153093	0	0	1	0
ENSG00000153094	97	141	159	170
ENSG00000153107	693	751	749	838
ENSG00000153113	4385	4755	3887	3746
ENSG00000153130	624	712	802	777
ENSG00000153132	396	490	732	674
ENSG00000153140	207	262	238	254
ENSG00000153147	1508	1688	1386	1389
ENSG00000153157	0	2	0	0
ENSG00000153162	423	476	580	514
ENSG00000153165	5	5	5	4
ENSG00000153179	188	220	212	195
ENSG00000153187	8833	10117	9724	9266
ENSG00000153201	1628	1840	1800	1778
ENSG00000153207	1017	1171	1273	1245
ENSG00000153208	19	20	7	3
ENSG00000153214	280	376	556	563
ENSG00000153230	0	0	0	0
ENSG00000153233	132	132	62	68
ENSG00000153234	17	33	23	31
ENSG00000153237	8	3	4	8
ENSG00000153246	0	1	0	6
ENSG00000153250	843	974	1035	978
ENSG00000153253	5	2	2	3
ENSG00000153266	0	0	0	0
ENSG00000153283	0	0	0	0
ENSG00000153291	35	29	46	32
ENSG00000153292	0	0	0	0
ENSG00000153294	0	0	1	0
ENSG00000153303	0	0	0	0
ENSG00000153310	1002	1131	946	926
ENSG00000153317	1320	1455	1609	1642
ENSG00000153339	188	166	210	212
ENSG00000153347	0	1	0	0
ENSG00000153363	25	26	28	46
ENSG00000153391	20	14	16	18
ENSG00000153395	1216	1383	1137	1123
ENSG00000153404	4	3	1	0
ENSG00000153406	3	3	1	2
ENSG00000153443	98	135	129	92
ENSG00000153446	0	0	0	1
ENSG00000153485	12	36	14	30
ENSG00000153487	206	199	237	228
ENSG00000153495	1	1	1	0
ENSG00000153498	0	0	0	0
ENSG00000153531	30	25	16	5
ENSG00000153551	427	527	654	504
ENSG00000153558	138	122	144	115
ENSG00000153560	1546	1793	1679	1532
ENSG00000153561	347	402	353	342
ENSG00000153563	0	0	0	1
ENSG00000153574	203	248	247	275
ENSG00000153684	0	0	0	0
ENSG00000153707	93	68	6	6
ENSG00000153714	154	161	215	199
ENSG00000153721	175	225	152	155
ENSG00000153767	156	173	170	156
ENSG00000153774	96	145	117	105
ENSG00000153779	0	0	0	0
ENSG00000153786	536	660	550	537
ENSG00000153789	1	2	0	0
ENSG00000153790	29	26	38	43
ENSG00000153802	1	2	0	0
ENSG00000153814	161	175	164	167
ENSG00000153815	300	375	254	218
ENSG00000153820	0	0	0	0
ENSG00000153822	0	0	0	0
ENSG00000153823	91	121	227	150
ENSG00000153827	2405	2868	2921	2895
ENSG00000153832	20	29	22	24
ENSG00000153879	578	751	686	682
ENSG00000153885	256	277	48	53
ENSG00000153896	40	46	33	33
ENSG00000153898	121	144	137	129
ENSG00000153902	2	3	0	0
ENSG00000153904	682	744	574	568
ENSG00000153914	1364	1540	1353	1391
ENSG00000153922	820	868	786	797
ENSG00000153923	1	0	0	0
ENSG00000153930	0	0	0	0
ENSG00000153933	23	14	23	17
ENSG00000153936	422	444	438	435
ENSG00000153944	1601	1812	1218	1026
ENSG00000153956	208	248	349	454
ENSG00000153975	181	210	192	162
ENSG00000153976	1550	1800	1595	1613
ENSG00000153982	16	27	13	15
ENSG00000153989	1313	1461	1100	1082
ENSG00000153993	82	103	182	186
ENSG00000154001	523	541	545	569
ENSG00000154007	0	0	0	0
ENSG00000154016	3	10	3	3
ENSG00000154025	129	148	233	213
ENSG00000154027	7	16	27	13
ENSG00000154040	1	1	1	0
ENSG00000154059	39	42	86	107
ENSG00000154065	6	2	19	9
ENSG00000154079	22	32	56	43
ENSG00000154080	1	2	0	0
ENSG00000154096	2020	2533	1053	1136
ENSG00000154099	86	119	68	56
ENSG00000154102	29	24	44	49
ENSG00000154114	197	221	160	121
ENSG00000154118	1	2	2	1
ENSG00000154122	467	510	333	413
ENSG00000154124	451	544	509	516
ENSG00000154127	326	369	388	399
ENSG00000154133	7	9	3	5
ENSG00000154134	52	75	68	36
ENSG00000154143	1	0	0	0
ENSG00000154144	329	336	287	286
ENSG00000154146	87	90	55	61
ENSG00000154153	12	21	20	17
ENSG00000154162	3	3	12	5
ENSG00000154165	0	0	0	0
ENSG00000154174	739	780	852	856
ENSG00000154175	194	242	85	94
ENSG00000154188	66	77	22	22
ENSG00000154198	0	0	0	0
ENSG00000154217	31	46	28	31
ENSG00000154222	567	676	612	595
ENSG00000154227	0	1	0	0
ENSG00000154229	588	684	546	527
ENSG00000154237	16	10	15	13
ENSG00000154240	73	67	133	133
ENSG00000154252	0	2	1	0
ENSG00000154258	0	0	0	0
ENSG00000154262	1	6	0	1
ENSG00000154263	5	5	3	0
ENSG00000154265	39	38	32	42
ENSG00000154269	0	0	1	0
ENSG00000154274	96	104	55	76
ENSG00000154277	8751	9721	8771	7904
ENSG00000154305	718	769	948	923
ENSG00000154309	87	78	80	94
ENSG00000154310	553	691	455	449
ENSG00000154316	1	0	3	0
ENSG00000154319	0	2	1	0
ENSG00000154328	143	236	222	159
ENSG00000154330	20	17	6	2
ENSG00000154342	0	0	0	0
ENSG00000154358	26	40	17	17
ENSG00000154359	143	183	107	115
ENSG00000154370	367	450	519	497
ENSG00000154380	2674	3270	3170	3217
ENSG00000154415	0	0	0	0
ENSG00000154429	287	330	397	367
ENSG00000154438	0	0	0	0
ENSG00000154447	266	287	260	277
ENSG00000154451	126	191	80	64
ENSG00000154473	2106	2292	2888	2940
ENSG00000154478	0	0	0	0
ENSG00000154479	3	3	5	1
ENSG00000154485	35	57	45	63
ENSG00000154493	8	17	11	4
ENSG00000154511	275	275	265	215
ENSG00000154518	1251	1278	1785	1606
ENSG00000154529	12	23	14	20
ENSG00000154545	3	9	7	0
ENSG00000154548	2	1	2	1
ENSG00000154553	53	68	26	25
ENSG00000154556	274	308	78	69
ENSG00000154582	527	629	535	483
ENSG00000154589	48	69	36	33
ENSG00000154608	3	5	3	6
ENSG00000154611	0	0	0	0
ENSG00000154620	0	0	0	0
ENSG00000154639	233	252	119	154
ENSG00000154640	501	639	596	582
ENSG00000154642	116	151	116	108
ENSG00000154645	2	1	2	0
ENSG00000154646	0	0	0	0
ENSG00000154654	0	0	0	0
ENSG00000154655	6	9	0	1
ENSG00000154678	4711	5443	4425	4355
ENSG00000154710	78	89	59	68
ENSG00000154719	166	213	266	240
ENSG00000154721	49	38	41	51
ENSG00000154723	465	517	503	496
ENSG00000154727	586	724	659	609
ENSG00000154734	334	380	271	269
ENSG00000154736	2	4	3	9
ENSG00000154743	142	191	185	155
ENSG00000154760	0	2	0	4
ENSG00000154764	0	0	0	0
ENSG00000154767	443	462	402	374
ENSG00000154781	181	197	203	192
ENSG00000154783	0	2	0	1
ENSG00000154803	153	186	189	173
ENSG00000154813	421	458	580	571
ENSG00000154814	136	202	149	192
ENSG00000154822	154	214	207	210
ENSG00000154832	203	250	267	211
ENSG00000154839	173	187	250	184
ENSG00000154845	1462	1661	1534	1381
ENSG00000154856	22	33	3	2
ENSG00000154864	3	1	3	0
ENSG00000154874	2	0	5	2
ENSG00000154889	139	151	161	119
ENSG00000154898	39	47	20	14
ENSG00000154914	0	0	0	1
ENSG00000154917	56	61	57	45
ENSG00000154920	523	645	551	513
ENSG00000154928	9	6	9	2
ENSG00000154930	44	58	30	29
ENSG00000154945	704	820	654	606
ENSG00000154957	67	48	48	40
ENSG00000154975	3	1	5	3
ENSG00000154978	1409	1673	1339	1264
ENSG00000154997	0	0	0	0
ENSG00000155008	250	267	290	266
ENSG00000155011	0	6	2	0
ENSG00000155016	91	114	136	127
ENSG00000155026	59	55	63	63
ENSG00000155034	470	533	602	613
ENSG00000155052	0	0	0	0
ENSG00000155066	0	2	3	5
ENSG00000155070	0	0	0	0
ENSG00000155085	37	32	19	16
ENSG00000155087	0	0	0	0
ENSG00000155090	450	429	428	391
ENSG00000155093	38	34	25	22
ENSG00000155096	1769	1826	1935	1870
ENSG00000155097	682	879	590	500
ENSG00000155099	107	134	133	113
ENSG00000155100	402	462	309	257
ENSG00000155111	414	478	441	378
ENSG00000155115	685	819	920	880
ENSG00000155158	163	170	146	157
ENSG00000155189	1067	1051	1094	969
ENSG00000155229	760	886	687	658
ENSG00000155249	0	0	0	0
ENSG00000155252	245	305	351	323
ENSG00000155254	460	550	397	366
ENSG00000155256	467	495	425	377
ENSG00000155265	3	2	0	1
ENSG00000155269	0	0	0	1
ENSG00000155275	132	139	137	148
ENSG00000155287	195	205	265	221
ENSG00000155304	826	871	838	815
ENSG00000155307	0	1	0	0
ENSG00000155313	222	185	244	293
ENSG00000155324	97	112	99	98
ENSG00000155329	170	226	208	228
ENSG00000155330	257	289	226	236
ENSG00000155363	530	591	595	501
ENSG00000155366	671	705	924	815
ENSG00000155367	4	0	3	1
ENSG00000155368	928	1016	1204	1176
ENSG00000155380	1749	2110	1738	1686
ENSG00000155393	523	655	411	409
ENSG00000155428	8	7	0	4
ENSG00000155438	594	746	820	793
ENSG00000155463	660	734	902	885
ENSG00000155465	4	5	7	2
ENSG00000155495	0	0	0	0
ENSG00000155506	3867	4561	3961	3850
ENSG00000155508	453	539	584	468
ENSG00000155511	1	1	1	0
ENSG00000155530	7	6	11	3
ENSG00000155542	66	61	84	89
ENSG00000155545	407	458	475	521
ENSG00000155561	2226	2562	1945	1928
ENSG00000155592	91	111	99	104
ENSG00000155621	73	89	98	99
ENSG00000155622	0	0	0	0
ENSG00000155629	6	9	5	7
ENSG00000155636	121	125	148	136
ENSG00000155657	62	102	101	120
ENSG00000155659	0	0	0	0
ENSG00000155660	4373	4959	4253	3997
ENSG00000155666	35	38	31	23
ENSG00000155714	1	0	4	0
ENSG00000155719	0	0	0	0
ENSG00000155729	133	161	166	165
ENSG00000155744	155	193	159	143
ENSG00000155749	2	7	8	6
ENSG00000155754	0	0	0	1
ENSG00000155755	215	241	304	309
ENSG00000155760	229	234	233	206
ENSG00000155761	1057	1188	1314	1296
ENSG00000155792	7	8	6	5
ENSG00000155816	75	87	167	170
ENSG00000155827	370	446	446	401
ENSG00000155833	0	0	0	0
ENSG00000155846	35	56	20	28
ENSG00000155849	5	8	2	5
ENSG00000155850	283	294	201	246
ENSG00000155858	158	193	175	164
ENSG00000155868	132	150	124	112
ENSG00000155875	8	5	1	7
ENSG00000155876	1146	1381	1753	1520
ENSG00000155886	0	0	0	0
ENSG00000155890	0	0	0	0
ENSG00000155893	25	18	16	19
ENSG00000155897	0	0	2	1
ENSG00000155903	145	133	179	185
ENSG00000155906	167	202	213	184
ENSG00000155918	0	2	0	2
ENSG00000155926	0	0	0	2
ENSG00000155957	49	50	62	93
ENSG00000155959	1275	1518	1660	1536
ENSG00000155961	31	44	17	12
ENSG00000155962	7	13	10	8
ENSG00000155966	208	221	92	80
ENSG00000155970	55	64	51	50
ENSG00000155974	48	62	65	74
ENSG00000155975	555	639	733	772
ENSG00000155980	64	73	30	44
ENSG00000156006	0	0	0	1
ENSG00000156009	0	0	0	0
ENSG00000156011	412	456	207	239
ENSG00000156017	215	264	177	169
ENSG00000156026	262	321	386	373
ENSG00000156030	254	302	219	214
ENSG00000156042	24	14	14	10
ENSG00000156049	0	0	3	0
ENSG00000156050	226	211	191	219
ENSG00000156052	369	475	365	343
ENSG00000156076	0	0	0	0
ENSG00000156096	0	1	0	0
ENSG00000156097	7	4	0	1
ENSG00000156103	256	329	223	231
ENSG00000156110	597	704	827	799
ENSG00000156113	503	570	480	474
ENSG00000156127	0	0	0	0
ENSG00000156136	714	783	624	604
ENSG00000156140	53	78	65	59
ENSG00000156150	34	37	37	32
ENSG00000156162	447	605	294	320
ENSG00000156170	142	139	126	141
ENSG00000156171	199	254	179	175
ENSG00000156172	37	32	21	19
ENSG00000156194	0	0	0	0
ENSG00000156206	0	0	0	1
ENSG00000156218	3	1	8	5
ENSG00000156219	3	0	0	0
ENSG00000156222	1	0	0	0
ENSG00000156232	223	238	232	221
ENSG00000156234	0	0	1	0
ENSG00000156239	98	82	93	107
ENSG00000156253	130	113	111	122
ENSG00000156256	479	532	526	457
ENSG00000156261	2512	2771	2808	2715
ENSG00000156265	0	0	5	3
ENSG00000156269	0	0	0	0
ENSG00000156273	134	160	129	146
ENSG00000156282	0	0	0	0
ENSG00000156284	0	0	0	0
ENSG00000156298	7	3	0	0
ENSG00000156299	219	229	167	156
ENSG00000156304	438	491	471	426
ENSG00000156313	54	50	58	64
ENSG00000156345	83	85	61	61
ENSG00000156374	260	282	322	321
ENSG00000156381	186	221	275	239
ENSG00000156384	92	148	134	106
ENSG00000156395	0	0	0	0
ENSG00000156398	163	176	111	139
ENSG00000156411	262	278	337	271
ENSG00000156413	1	0	0	0
ENSG00000156414	0	0	0	0
ENSG00000156427	7	7	10	9
ENSG00000156453	14	16	14	11
ENSG00000156463	128	131	97	117
ENSG00000156466	159	168	50	44
ENSG00000156467	1260	1437	1110	1100
ENSG00000156469	189	189	215	202
ENSG00000156471	1262	1431	1166	1195
ENSG00000156475	225	251	238	203
ENSG00000156482	2982	3337	2823	2537
ENSG00000156486	1	0	0	3
ENSG00000156500	273	300	258	198
ENSG00000156502	291	338	392	353
ENSG00000156504	1628	1867	1695	1645
ENSG00000156508	71809	81613	89819	85279
ENSG00000156509	5	1	3	1
ENSG00000156510	47	52	8	8
ENSG00000156515	2989	3736	3288	3281
ENSG00000156521	273	266	339	386
ENSG00000156531	1334	1513	1289	1185
ENSG00000156535	1802	2107	1131	1075
ENSG00000156564	0	0	0	0
ENSG00000156574	0	5	1	1
ENSG00000156575	0	0	0	0
ENSG00000156587	58	48	12	10
ENSG00000156599	1165	1322	1130	1126
ENSG00000156603	159	162	223	195
ENSG00000156639	849	902	910	846
ENSG00000156642	1023	1258	1203	1219
ENSG00000156650	307	363	234	240
ENSG00000156671	448	501	441	440
ENSG00000156675	4	14	24	17
ENSG00000156687	124	112	137	120
ENSG00000156689	35	48	48	33
ENSG00000156697	514	604	551	560
ENSG00000156709	906	1026	934	890
ENSG00000156711	23	20	9	21
ENSG00000156735	226	236	306	283
ENSG00000156738	0	0	0	0
ENSG00000156755	0	0	0	0
ENSG00000156787	223	258	228	226
ENSG00000156795	116	116	114	116
ENSG00000156802	1878	2189	1677	1705
ENSG00000156804	1189	1368	1564	1408
ENSG00000156831	152	193	198	176
ENSG00000156853	130	153	197	183
ENSG00000156858	291	361	336	311
ENSG00000156860	769	895	921	796
ENSG00000156869	42	49	53	48
ENSG00000156873	247	266	330	310
ENSG00000156875	6	2	3	4
ENSG00000156876	212	250	230	240
ENSG00000156885	0	0	0	0
ENSG00000156886	1	0	0	0
ENSG00000156920	2	0	0	1
ENSG00000156925	9	19	34	11
ENSG00000156928	419	520	697	730
ENSG00000156931	491	573	451	482
ENSG00000156958	149	136	93	125
ENSG00000156959	5	8	0	1
ENSG00000156966	1	1	0	0
ENSG00000156968	0	0	0	0
ENSG00000156970	1234	1376	1598	1650
ENSG00000156973	167	179	227	207
ENSG00000156976	4282	4764	4405	4238
ENSG00000156983	475	579	535	536
ENSG00000156990	338	396	444	502
ENSG00000157005	0	0	0	0
ENSG00000157014	256	396	390	418
ENSG00000157017	10	1	6	8
ENSG00000157020	1750	1984	2376	2170
ENSG00000157021	13	13	17	18
ENSG00000157036	200	215	180	209
ENSG00000157045	218	279	280	238
ENSG00000157060	0	0	0	0
ENSG00000157064	202	219	61	62
ENSG00000157077	206	232	246	280
ENSG00000157087	0	1	2	1
ENSG00000157093	0	0	0	0
ENSG00000157103	1	0	0	0
ENSG00000157106	1628	1763	1505	1555
ENSG00000157107	150	140	165	166
ENSG00000157110	142	169	153	211
ENSG00000157111	5	2	17	9
ENSG00000157119	0	0	0	0
ENSG00000157131	0	0	0	0
ENSG00000157150	9	21	13	17
ENSG00000157152	10	18	4	23
ENSG00000157168	2102	2389	931	949
ENSG00000157181	274	299	368	355
ENSG00000157184	257	298	282	230
ENSG00000157191	434	501	552	524
ENSG00000157193	1178	1407	984	898
ENSG00000157211	0	0	0	0
ENSG00000157212	436	533	427	427
ENSG00000157214	31	42	37	41
ENSG00000157216	290	314	301	293
ENSG00000157219	0	0	0	0
ENSG00000157224	275	327	583	569
ENSG00000157227	858	949	1285	1354
ENSG00000157240	279	359	328	320
ENSG00000157259	532	620	687	678
ENSG00000157303	0	0	0	0
ENSG00000157306	5	2	6	2
ENSG00000157315	6	4	7	2
ENSG00000157322	0	0	1	1
ENSG00000157326	68	90	80	82
ENSG00000157330	0	0	0	0
ENSG00000157335	0	0	0	0
ENSG00000157343	1	7	3	1
ENSG00000157349	137	166	161	147
ENSG00000157350	572	699	633	606
ENSG00000157353	190	245	168	173
ENSG00000157368	0	0	4	2
ENSG00000157379	143	152	123	131
ENSG00000157388	41	34	9	7
ENSG00000157399	16	24	4	2
ENSG00000157404	12	8	4	5
ENSG00000157423	2	0	0	1
ENSG00000157426	165	199	159	147
ENSG00000157429	10	19	12	7
ENSG00000157445	3	8	2	0
ENSG00000157450	341	368	320	327
ENSG00000157456	1389	1571	1679	1611
ENSG00000157470	110	130	55	58
ENSG00000157483	757	840	488	475
ENSG00000157500	888	931	662	627
ENSG00000157502	19	22	17	7
ENSG00000157510	20	13	13	3
ENSG00000157514	72	86	55	52
ENSG00000157538	488	465	540	547
ENSG00000157540	430	454	436	396
ENSG00000157542	0	1	0	0
ENSG00000157551	0	0	0	0
ENSG00000157554	0	0	3	0
ENSG00000157557	470	580	676	680
ENSG00000157570	3	0	2	0
ENSG00000157578	3	7	4	8
ENSG00000157593	860	952	825	706
ENSG00000157600	361	424	374	376
ENSG00000157601	25	25	10	44
ENSG00000157613	6	9	16	22
ENSG00000157617	150	180	247	261
ENSG00000157625	281	320	260	276
ENSG00000157637	1121	1152	1232	1143
ENSG00000157653	298	294	236	219
ENSG00000157654	1525	1754	1931	1943
ENSG00000157657	262	307	363	328
ENSG00000157680	51	59	19	14
ENSG00000157693	139	136	162	143
ENSG00000157703	0	0	0	0
ENSG00000157734	2899	3187	2860	2550
ENSG00000157741	292	297	266	268
ENSG00000157764	360	420	393	348
ENSG00000157765	0	2	0	0
ENSG00000157766	0	0	0	0
ENSG00000157778	398	453	528	464
ENSG00000157782	0	0	0	0
ENSG00000157796	201	225	207	177
ENSG00000157800	407	489	385	390
ENSG00000157823	143	137	106	120
ENSG00000157827	508	625	516	487
ENSG00000157833	2	4	10	4
ENSG00000157837	323	389	309	301
ENSG00000157851	111	138	14	10
ENSG00000157856	0	0	0	0
ENSG00000157869	285	294	284	279
ENSG00000157870	279	308	371	348
ENSG00000157873	8	7	4	0
ENSG00000157881	341	340	363	350
ENSG00000157884	0	0	0	0
ENSG00000157890	10	7	5	15
ENSG00000157895	146	199	149	162
ENSG00000157911	718	875	618	652
ENSG00000157916	2064	2196	2060	1988
ENSG00000157927	12	18	6	8
ENSG00000157933	725	934	773	815
ENSG00000157954	644	840	796	725
ENSG00000157965	0	0	0	0
ENSG00000157978	291	324	388	358
ENSG00000157985	408	483	423	465
ENSG00000157992	42	28	28	25
ENSG00000157999	14	24	12	18
ENSG00000158006	146	171	141	104
ENSG00000158008	0	0	2	0
ENSG00000158014	0	0	0	0
ENSG00000158019	112	126	144	122
ENSG00000158022	0	0	0	2
ENSG00000158023	17	31	13	6
ENSG00000158042	437	512	471	443
ENSG00000158050	5	5	2	5
ENSG00000158055	1	9	1	1
ENSG00000158062	361	415	410	403
ENSG00000158077	0	0	0	0
ENSG00000158079	103	124	69	116
ENSG00000158089	1	0	0	0
ENSG00000158092	112	121	169	134
ENSG00000158104	4	12	6	4
ENSG00000158106	120	123	71	46
ENSG00000158109	232	196	203	228
ENSG00000158113	2	1	0	0
ENSG00000158122	87	102	132	154
ENSG00000158125	10	8	14	14
ENSG00000158156	82	86	106	107
ENSG00000158158	157	203	186	189
ENSG00000158161	360	423	355	358
ENSG00000158163	74	61	64	76
ENSG00000158164	18	13	7	8
ENSG00000158169	240	296	302	281
ENSG00000158186	122	123	50	35
ENSG00000158195	1374	1484	1600	1424
ENSG00000158201	179	230	219	210
ENSG00000158220	3	1	3	1
ENSG00000158234	58	75	70	54
ENSG00000158246	40	43	54	41
ENSG00000158258	13	15	0	0
ENSG00000158270	4	3	0	0
ENSG00000158286	14	16	22	28
ENSG00000158290	3026	3372	3047	3091
ENSG00000158292	81	84	75	86
ENSG00000158296	1	2	0	0
ENSG00000158301	195	232	291	295
ENSG00000158315	1	3	6	3
ENSG00000158321	1168	1304	1548	1460
ENSG00000158352	43	61	74	89
ENSG00000158373	2	10	11	2
ENSG00000158402	208	313	319	311
ENSG00000158406	5	5	4	4
ENSG00000158411	193	211	234	264
ENSG00000158417	1862	2178	2302	2041
ENSG00000158423	7	9	5	6
ENSG00000158427	21	22	39	15
ENSG00000158428	0	0	0	0
ENSG00000158435	473	524	675	632
ENSG00000158445	1	14	4	2
ENSG00000158457	29	35	18	20
ENSG00000158458	127	159	140	146
ENSG00000158467	281	315	246	267
ENSG00000158470	841	1045	982	878
ENSG00000158473	1	0	0	1
ENSG00000158477	0	0	0	0
ENSG00000158480	138	168	178	174
ENSG00000158481	0	0	0	0
ENSG00000158482	0	0	0	0
ENSG00000158483	53	79	60	66
ENSG00000158485	0	0	0	0
ENSG00000158486	1	1	0	0
ENSG00000158488	0	0	0	0
ENSG00000158497	0	0	0	0
ENSG00000158516	2	1	3	2
ENSG00000158517	0	2	0	1
ENSG00000158525	2	2	5	3
ENSG00000158526	366	383	482	435
ENSG00000158528	259	294	341	349
ENSG00000158545	957	1033	776	718
ENSG00000158552	185	239	266	233
ENSG00000158553	0	0	0	0
ENSG00000158555	25	29	17	17
ENSG00000158560	459	508	285	263
ENSG00000158571	3	0	0	0
ENSG00000158578	0	0	0	0
ENSG00000158604	1392	1518	1591	1493
ENSG00000158615	840	1012	814	782
ENSG00000158623	434	505	512	512
ENSG00000158636	238	303	282	302
ENSG00000158639	0	0	0	0
ENSG00000158669	1259	1462	1224	1058
ENSG00000158683	1	2	2	2
ENSG00000158691	59	42	74	71
ENSG00000158710	13957	15915	11446	10761
ENSG00000158711	391	447	481	482
ENSG00000158714	8	14	12	4
ENSG00000158715	73	123	124	150
ENSG00000158716	0	0	1	0
ENSG00000158717	281	268	246	218
ENSG00000158731	0	0	0	0
ENSG00000158747	19	14	48	39
ENSG00000158748	0	0	0	0
ENSG00000158764	0	0	0	0
ENSG00000158769	191	173	89	69
ENSG00000158773	539	656	509	535
ENSG00000158786	0	0	0	0
ENSG00000158792	86	80	84	67
ENSG00000158793	618	676	470	435
ENSG00000158796	618	637	491	466
ENSG00000158805	504	581	440	375
ENSG00000158806	0	0	0	0
ENSG00000158813	15	24	3	7
ENSG00000158815	0	0	0	0
ENSG00000158816	0	0	0	0
ENSG00000158825	0	1	0	0
ENSG00000158828	344	369	456	387
ENSG00000158850	831	998	699	699
ENSG00000158856	212	257	376	362
ENSG00000158859	705	842	229	175
ENSG00000158863	463	485	439	475
ENSG00000158864	1334	1412	1050	1067
ENSG00000158865	1	1	3	5
ENSG00000158869	3	2	0	1
ENSG00000158874	0	0	0	0
ENSG00000158882	320	368	175	155
ENSG00000158887	1	3	0	1
ENSG00000158901	0	0	0	0
ENSG00000158941	2047	2243	2301	2263
ENSG00000158955	0	0	0	0
ENSG00000158966	74	150	111	122
ENSG00000158985	359	373	337	325
ENSG00000158987	104	124	96	84
ENSG00000159023	501	522	472	486
ENSG00000159055	204	155	248	231
ENSG00000159063	310	344	405	393
ENSG00000159069	740	865	934	844
ENSG00000159079	16	22	21	17
ENSG00000159082	197	231	223	235
ENSG00000159086	353	398	384	368
ENSG00000159110	39	45	30	33
ENSG00000159111	335	399	305	308
ENSG00000159128	249	288	319	307
ENSG00000159131	1014	1133	933	1021
ENSG00000159140	2802	3062	2437	2400
ENSG00000159147	755	851	927	787
ENSG00000159164	1284	1643	580	537
ENSG00000159166	0	0	0	0
ENSG00000159167	482	529	393	375
ENSG00000159173	0	0	0	0
ENSG00000159176	933	951	1313	1294
ENSG00000159182	0	0	0	0
ENSG00000159184	46	58	25	22
ENSG00000159186	0	0	0	0
ENSG00000159189	0	0	0	1
ENSG00000159197	1	0	1	0
ENSG00000159199	399	503	504	463
ENSG00000159200	537	623	259	229
ENSG00000159202	1092	1258	1389	1336
ENSG00000159208	67	95	71	71
ENSG00000159210	708	888	864	751
ENSG00000159212	0	0	0	0
ENSG00000159214	32	40	42	49
ENSG00000159216	640	852	510	467
ENSG00000159217	0	4	1	0
ENSG00000159224	0	0	0	0
ENSG00000159228	471	628	466	479
ENSG00000159231	60	102	83	93
ENSG00000159239	1	1	0	0
ENSG00000159247	0	0	0	0
ENSG00000159248	0	0	0	0
ENSG00000159251	0	3	7	6
ENSG00000159256	250	255	175	159
ENSG00000159259	196	246	234	200
ENSG00000159261	0	2	1	2
ENSG00000159263	5	1	6	3
ENSG00000159267	161	182	169	166
ENSG00000159289	1	1	0	0
ENSG00000159307	0	0	0	1
ENSG00000159314	70	72	88	83
ENSG00000159322	937	1144	745	762
ENSG00000159335	1055	1241	1714	1398
ENSG00000159337	0	0	0	0
ENSG00000159339	0	1	2	2
ENSG00000159346	1040	1137	1216	1190
ENSG00000159348	277	290	336	297
ENSG00000159352	1978	2253	1729	1652
ENSG00000159363	518	557	479	423
ENSG00000159374	0	0	0	0
ENSG00000159377	2983	3458	2247	2280
ENSG00000159387	1	2	0	0
ENSG00000159388	87	90	21	15
ENSG00000159398	0	0	0	0
ENSG00000159399	467	600	438	440
ENSG00000159403	7	4	2	3
ENSG00000159409	5	0	0	0
ENSG00000159423	167	205	119	114
ENSG00000159433	352	364	272	295
ENSG00000159445	131	111	111	107
ENSG00000159450	9	11	3	7
ENSG00000159455	0	0	0	0
ENSG00000159459	581	676	518	547
ENSG00000159461	1197	1323	1289	1204
ENSG00000159479	484	546	568	574
ENSG00000159495	0	0	0	0
ENSG00000159496	48	68	60	66
ENSG00000159516	0	0	0	0
ENSG00000159527	0	0	0	0
ENSG00000159556	69	85	77	74
ENSG00000159579	642	769	690	664
ENSG00000159588	14	15	22	13
ENSG00000159592	751	959	1036	985
ENSG00000159593	886	986	1111	1043
ENSG00000159596	301	375	284	260
ENSG00000159618	3	0	3	0
ENSG00000159625	0	0	0	0
ENSG00000159640	3	2	2	6
ENSG00000159648	0	0	0	0
ENSG00000159650	1	0	0	0
ENSG00000159658	996	1263	1116	1160
